Date;Muscle group;Exercise name;Sets;Reps;Weight;Body weight flg;Comment
13.04.2024;Cardio;Run;9;;;;
17.04.2024;Cardio;Run;0,5;;;;
14.04.2024;Triceps;Kneeling dip;1;10;-48;BW;
18.04.2024;Triceps;Kneeling dip;4;8;-41;BW;
21.04.2024;Triceps;Kneeling dip;1;12;-48;BW;
11.02.2024;Biceps;Bicep curl;4;10;10;;
16.01.2024;Shoulders;Dumbbell front raise;3;10;5;;
09.02.2024;Shoulders;Bar dumbbell pull up;4;12;22,5;;Bar
02.03.2024;Shoulders;Bar dumbbell pull up;4;10;28;;
09.04.2024;Chest;Bench press assisted;1;8;40;;
09.04.2024;Chest;Bench press assisted;3;8;45;;
14.03.2024;Back;Chin-up assist;3;8;-54;BW;
22.03.2024;Back;Chin-up assist;1;10;-61;BW;
12.03.2024;Legs;Angled leg press;4;12;50;;
02.03.2024;Chest;Bench press;1;12;30;;Bar
17.04.2024;Legs;Angled leg press;1;12;50;;
24.03.2024;Biceps;Bicep curl;2;10;12,5;;
09.02.2024;Core;Hip extension;2;10;0;BW;Roman chair
20.04.2024;Cardio;Run;13;;;;
21.04.2024;Cardio;Run;1;;;;
02.03.2024;Chest;Bench press;6;8;40;;
17.04.2024;Legs;Angled leg press;4;8;80;;
03.04.2024;Core;Hip extension;4;10;0;BW;Roman chair
16.05.2024;Core;Hip extension;1;12;0;BW;Roman chair
14.04.2024;Biceps;Bicep curl;1;14;27;;Rope
22.04.2024;Cardio;Run;9,5;;;;
23.04.2024;Cardio;Run;8;;;;
14.04.2024;Biceps;Bicep curl;1;12;36;;
21.04.2024;Triceps;Kneeling dip;2;12;-41;BW;
21.04.2024;Triceps;Kneeling dip;1;8;-34;BW;
29.04.2024;Triceps;Kneeling dip;1;10;-41;BW;
29.04.2024;Triceps;Kneeling dip;2;8;-34;BW;
29.04.2024;Triceps;Kneeling dip;1;8;-27;BW;
07.03.2024;Chest;Bench press;4;10;40;;
12.03.2024;Chest;Bench press;4;10;40;;
18.03.2024;Chest;Bench press;3;10;40;;
26.04.2024;Cardio;Run;4,5;;;;
28.04.2024;Cardio;Run;8;;;;
22.03.2024;Back;Chin-up assist;3;8;-54;BW;
03.04.2024;Back;Chin-up assist;4;10;-54;BW;
15.04.2024;Back;Chin-up assist;4;8;-48;BW;
25.04.2024;Back;Chin-up assist;4;8;-54;BW;
05.05.2024;Back;Chin-up assist;1;6;-41;BW;
28.03.2024;Core;Hanging Leg Raise;4;10;0;BW;
04.03.2024;Core;Crunches;4;12;0;BW;
28.03.2024;Core;Cable wood chop;2;12;18;;
12.04.2024;Biceps;Bicep curl;4;10;12,5;;
14.04.2024;Biceps;Bicep curl;1;10;12,5;;
29.04.2024;Cardio;Run;1;;;;
30.04.2024;Cardio;Run;8;;;;
01.05.2024;Cardio;Run;10;;;;
02.05.2024;Cardio;Run;4;;;;
03.05.2024;Cardio;Run;1;;;;
03.05.2024;Cardio;Run;6;;;;
14.04.2024;Biceps;Bicep curl;1;8;45;;
19.04.2024;Biceps;Bicep curl;1;10;32;;Preacher
14.04.2024;Biceps;Bicep curl;1;10;15;;
03.05.2024;Triceps;Kneeling dip;2;12;-48;BW;
03.05.2024;Triceps;Kneeling dip;2;10;-41;BW;
24.03.2024;Chest;Bench press;4;8;45;;
05.05.2024;Back;Chin-up assist;3;12;-61;BW;
10.01.2024;Back;Hip extension;2;12;;;Roman chair
31.01.2024;Back;Bend over rows;4;16;10;;
03.04.2024;Core;Cable wood chop;1;10;9;;
03.04.2024;Core;Cable wood chop;1;10;18;;
29.04.2024;Biceps;Bicep curl;1;10;12,5;;
22.05.2024;Core;Alternate leg raise;2;30;0;BW;
28.03.2024;Core;Ab wheel;4;12;0;BW;
03.04.2024;Core;Ab wheel;4;12;0;BW;
19.04.2024;Biceps;Bicep curl;3;8;36;;
15.05.2024;Biceps;Bicep curl;1;10;10;;
26.03.2024;Chest;Bench press;1;10;45;;
26.03.2024;Chest;Bench press;3;8;45;;
28.03.2024;Chest;Bench press;4;10;45;;
15.05.2024;Biceps;Bicep curl;3;10;12,5;;
04.05.2024;Walk;Hike;34;;;;
03.05.2024;Triceps;Kneeling dip;2;8;-34;BW;
03.05.2024;Triceps;Kneeling dip;1;6;-27;BW;
15.05.2024;Triceps;Kneeling dip;2;10;-48;BW;
02.04.2024;Chest;Bench press;4;8;45;;
20.05.2024;Biceps;Bicep curl;4;10;12,5;;
14.04.2024;Chest;Bench press;1;10;45;;
14.04.2024;Chest;Bench press;3;8;50;;
21.04.2024;Chest;Bench press;2;10;45;;
21.04.2024;Chest;Bench press;2;8;50;;
15.04.2024;Back;Mid row one arm;1;8;80;;
08.05.2024;Walk;Hike;16;;;;
29.04.2024;Chest;Bench press;3;8;45;;
05.05.2024;Core;Ab wheel;2;14;0;BW;
22.05.2024;Core;Ab wheel;2;10;0;BW;
19.01.2024;Core;Ab coaster;2;12;10;;
19.01.2024;Core;Ab coaster;3;12;15;;
16.05.2024;Core;Ab coaster;4;20;20;;
22.05.2024;Core;Ab coaster;4;20;20;;
09.05.2024;Walk;Hike;20;;;;
15.05.2024;Triceps;Kneeling dip;2;10;-41;BW;
20.05.2024;Triceps;Kneeling dip;1;10;-48;BW;
20.05.2024;Triceps;Kneeling dip;1;10;-41;BW;
20.05.2024;Triceps;Kneeling dip;2;10;-34;BW;
23.05.2024;Triceps;Kneeling dip;1;10;-41;BW;
23.05.2024;Triceps;Kneeling dip;1;10;-34;BW;
23.05.2024;Triceps;Kneeling dip;1;10;-27;BW;
23.05.2024;Triceps;Kneeling dip;1;10;-20;BW;
23.05.2024;Triceps;Kneeling dip;1;8;-20;BW;
10.05.2024;Walk;Hike;16;;;;
29.04.2024;Chest;Bench press;2;14;45;;
20.05.2024;Chest;Bench press;4;10;45;;
15.05.2024;Chest;Bench press assisted;4;12;25;;
27.05.2024;Triceps;Kneeling dip;4;8;-27;BW;
26.03.2024;Shoulders;One arm pull-down;2;8;45;;No twist
24.02.2024;Shoulders;One arm pulldown;2;8;45;;
19.04.2024;Biceps;Hammer dumbbell curl;3;8;15;;
11.05.2024;Walk;Hike;19;;;;
12.05.2024;Walk;Hike;26;;;;
